200000
producto;valor costo;valor venta;venta mensual;stock actual;proveedor
1;1500;2000;8;0;0
2;200;600;5;0;3
3;1000;1700;10;0;2
4;2000;3500;13;0;0
5;100;500;15;0;2
6;3000;4000;9;0;3
7;4000;10000;8;0;1
8;150;600;11;0;0
9;300;800;10;0;3
10;700;1000;5;0;2
11;2000;3000;9;0;2
12;3500;6000;4;0;1
13;150;600;8;0;0
14;400;850;10;0;3
15;1000;1700;12;0;0
16;400;1000;6;0;1
17;1400;2050;8;0;3
18;400;1200;10;0;0
19;6500;1200;5;0;1
20;2000;3000;9;0;3
21;3500;6000;4;0;2
22;40;450;15;0;2
23;230;650;10;0;1
24;1000;2000;3;0;3
25;350;600;12;0;1
26;200;500;13;0;0
27;10;50;15;0;3
28;300;400;9;0;2
29;400;1000;8;0;1
30;150;600;11;0;0
31;1400;2050;8;0;3
32;400;1200;10;0;0
33;6500;1200;5;0;1
34;2000;3000;9;0;3
35;3500;6000;4;0;2
36;40;450;15;0;2
37;230;650;10;0;1
38;1000;2000;3;0;3
39;350;600;12;0;1
40;200;500;13;0;0
41;10;50;15;0;3
42;300;400;9;0;3
43;4000;10000;8;0;1
44;150;600;11;0;0
45;300;800;10;0;3
